State,Annual Establishments,Annual Average Employement,Total Annual Wages,Average Annual Weekly Wage,Annual Wages Per Employee
Alabama,125809.00,1547125.00,79597171727,989,51448
Alaska,20586.00,225077.00,13699260386,1170,60865
Arizona,167158.00,2436814.00,1.41752E+11,1119,58171
Arkansas,89149.00,982047.00,47843973048,937,48719
California,1585267.00,13966715.00,1.11355E+12,1533,79729
Colorado,215069.00,2182001.00,1.47135E+11,1297,67431
Connecticut,121578.00,1332441.00,1.01564E+11,1466,76224
Delaware,34647.00,364179.00,22773798108,1203,62535
District of Columbia,42139.00,487302.00,49730929709,1963,102054
Florida,740522.00,7389890.00,4.09726E+11,1066,55444
Georgia,301221.00,3663623.00,2.19175E+11,1150,59825
Hawaii,43885.00,442656.00,24362031873,1058,55036
Idaho,66608.00,629623.00,30101506508,919,47809
Illinois,368119.00,4822542.00,3.22935E+11,1288,66964
Indiana,166967.00,2535558.00,1.32475E+11,1005,52247
Iowa,98782.00,1242572.00,64603952253,1000,51992
Kansas,82704.00,1091219.00,57560616375,1014,52749
Kentucky,121622.00,1511919.00,77032367512,980,50950
Louisiana,132434.00,1479871.00,77345631628,1005,52265
Maine,51243.00,489372.00,25357470665,996,51816
Maryland,171263.00,2031687.00,1.34867E+11,1277,66382
Massachusetts,255460.00,2907984.00,2.48013E+11,1640,85287
Michigan,259470.00,3426882.00,2.03772E+11,1144,59463
Minnesota,175163.00,2339149.00,1.51268E+11,1244,64668
Mississippi,70473.00,860833.00,36643342274,819,42567
Missouri,207760.00,2274758.00,1.24659E+11,1054,54801
Montana,50347.00,374233.00,17777835945,914,47505
Nebraska,66721.00,790415.00,40598285634,988,51363
Nevada,85432.00,1111600.00,61005373133,1055,54881
New Hampshire,52709.00,542934.00,35854372654,1270,66038
New Jersey,277684.00,3205532.00,2.37549E+11,1425,74106
New Mexico,59515.00,609323.00,29684246139,937,48717
New York,635538.00,7207032.00,6.10881E+11,1630,84762
North Carolina,290448.00,3632182.00,2.05285E+11,1087,56518
North Dakota,30337.00,326357.00,18299565341,1078,56072
Ohio,290789.00,4418269.00,2.44723E+11,1065,55389
Oklahoma,106844.00,1230661.00,60502654386,945,49163
Oregon,157335.00,1570539.00,92628368231,1134,58979
Pennsylvania,348195.00,4829417.00,2.99181E+11,1191,61950
Rhode Island,39249.00,384927.00,22621187413,1130,58768
South Carolina,141701.00,1677040.00,82211634392,943,49022
South Dakota,32502.00,344581.00,17057078706,952,49501
Tennessee,168073.00,2502249.00,1.39136E+11,1069,55604
Texas,720066.00,10184330.00,6.5064E+11,1229,63886
Utah,108976.00,1269695.00,70128002729,1062,55232
Vermont,24900.00,232551.00,12391227301,1025,53284
Virginia,275070.00,3050133.00,1.99021E+11,1255,65250
Washington,263926.00,2709844.00,2.10804E+11,1496,77792
West Virginia,47373.00,509884.00,24337717226,918,47732
Wisconsin,170628.00,2365625.00,1.27517E+11,1037,53904
Wyoming,25827.00,196823.00,9887565212,966,50236
Puerto Rico,44371.00,637061.00,18077140915,546,28376
Virgin Islands,3389.00,25612.00,1310368830,984,51161
